slide_id,state,district,slide_name,slide_no,nh_sh_location,latitude,longitude,coordinate_valid,material_involved,movement_type,history,history_date,date_available,source
1365,Arunachal Pradesh,West Siang,Likabali-Aalo road Slide 7,AR/WS/83I13/2022/098,Likabali-Aalo road,27.868667,94.787083,True,Rock,Slide,,,False,GSI Bhusanket
1366,Arunachal Pradesh,West Siang,S of Daring Slide,AR/WS/83I13/2022/099,Daring road,27.870361,94.817861,True,Debris,Slide,,,False,GSI Bhusanket
1367,Arunachal Pradesh,Kurung Kumey,Kele Village slide 3,AP/KK/83E09/2021/23,Kele Village,27.872722,93.456306,True,Debris,Slide,,,False,GSI Bhusanket
1368,Arunachal Pradesh,Kurung Kumey,Kele Village slide 2,AP/KK/83E09/2021/24,Kele Village,27.874667,93.452917,True,Debris,Slide,,,False,GSI Bhusanket
1369,Arunachal Pradesh,Lohit,,AR/LOH/92A05/2014/05,NH 52,27.87469,96.35986,True,Rock,Slide,May 2014,,False,GSI Bhusanket
1370,Arunachal Pradesh,Lohit,,AR/LOH/92A05/2014/01,NH 52,27.87825,96.36614,True,Rock,Fall,May 2014,,False,GSI Bhusanket
1371,Arunachal Pradesh,Kurung Kumey,Kele village slide 1,AP/KK/83E09/2021/29,NW of Kele village,27.882056,93.444333,True,Debris,Slide,,,False,GSI Bhusanket
1372,Arunachal Pradesh,Lohit,,AR/LOH/92A05/2014/02,NH 52,27.89311,96.36336,True,Rock,Fall,May 2014,,False,GSI Bhusanket
1373,Arunachal Pradesh,West Siang,NE of Daring Slide 1,AR/WS/83I13/2022/100,Daring road,27.893389,94.842194,True,Soil,Slide,,,False,GSI Bhusanket
1374,Arunachal Pradesh,West Siang,NE of Daring Slide 2,AR/WS/83I13/2022/101,Daring road,27.897361,94.844111,True,Rock,Slide,,,False,GSI Bhusanket
1375,Arunachal Pradesh,Kurung Kumey,Koloriang slide 4,AP/KK/83E09/2021/26,East of Koloriang,27.897722,93.406306,True,Debris,Slide,,,False,GSI Bhusanket
1376,Arunachal Pradesh,Kurung Kumey,Koloriang slide 3,AP/KK/83E09/2021/25,East of Koloriang,27.898806,93.408444,True,Debris,Slide,,,False,GSI Bhusanket
1377,Arunachal Pradesh,Kurung Kumey,Koloriang slide 1,AP/KK/83E09/2021/28,Near Koloriang,27.903389,93.370361,True,Debris,Slide,,,False,GSI Bhusanket
1378,Arunachal Pradesh,Kurung Kumey,Koloriang slide 2,AP/KK/83E09/2021/27,Near Koloriang,27.903417,93.371722,True,Debris,Slide,,,False,GSI Bhusanket
1379,Arunachal Pradesh,Lohit,,AR/LOH/92A05/2014/03,NH 52,27.90417,96.35869,True,Rock cum Debris,Slide,May 2014,,False,GSI Bhusanket
1380,Arunachal Pradesh,Lohit,,AR/ANJ/92A05/2014/21,NH-52,27.90467,96.35917,True,Rock,Slide,2013,,False,GSI Bhusanket
1381,Arunachal Pradesh,Lohit,,AR/ANJ/92A05/2014/19,NH-52,27.90475,96.34811,True,Debris,Fall,2013,,False,GSI Bhusanket
1382,Arunachal Pradesh,Lohit,,AR/LOH/92A05/2014/04,NH 52,27.90581,96.35933,True,Rock,Fall,May 2014,,False,GSI Bhusanket
1383,Arunachal Pradesh,Lohit,,AR/ANJ/92A05/2014/20,NH-52,27.90664,96.35964,True,Rock,Slide,2013,,False,GSI Bhusanket
1384,Arunachal Pradesh,Lohit,,AR/LOH/92A05/2014/06,NH 52,27.90772,96.34517,True,Rock,Fall,May 2014,,False,GSI Bhusanket
1385,Arunachal Pradesh,Lohit,,AR/LOH/92A05/2014/52,NH-52,27.90814,96.36028,True,Rock,Slide,2013,,False,GSI Bhusanket
1386,Arunachal Pradesh,Lepa rada,Ego-Yamin Basar road slide 1,AP/LEP/83I09/2021/88,Ego-Yamin Basar road section,27.909278,94.736111,True,Debris,Slide,,,False,GSI Bhusanket
1387,Arunachal Pradesh,Lepa rada,Ego-Yamin Basar road slide 3,AP/LEP/83I09/2021/90,Ego-Yamin Basar road section,27.910417,94.739528,True,Debris,Slide,,,False,GSI Bhusanket
1388,Arunachal Pradesh,Lohit,,AR/ANJ/92A05/2014/18,Tohangam-Hayuliang Road,27.91164,96.34269,True,Rock cum Debris,Slide,May 2014,,False,GSI Bhusanket
1389,Arunachal Pradesh,Lepa rada,Garo- Basar road section slide 1,AP/LEP/83I09/2021/79,Garo to Basar road,27.912806,94.726972,True,Rock,Slide,,,False,GSI Bhusanket
1390,Arunachal Pradesh,Lepa rada,Ego-Yamin Basar road slide 2,AP/LEP/83I09/2021/89,Ego-Yamin Basar road section,27.913333,94.737472,True,Debris,Slide,,,False,GSI Bhusanket
1391,Arunachal Pradesh,Lepa rada,Kamdak-Basar road slide,AP/LEP/83I09/2021/87,Kamdak-Basar road section,27.914944,94.721806,True,Rock,Slide,,,False,GSI Bhusanket
1392,Arunachal Pradesh,Lohit,,AR/LOH/92A05/2014/50,NH-52,27.91636,96.33392,True,Rock,Fall,2013,,False,GSI Bhusanket
